"ediazj","1366751190000","-3.76976118","40.24546644","Parla","Un Bayern demoledor sentencia (a priori) a un Barcelona nulo..."
"KaytQ","1366751648000","","","Greece","FC Bayern Munich vs Barcelona.................................. #Brazzers"
"itz_kayus","1366751649000","3.38923","6.5122","","Barcelona went 2 Germany four nothing"
"haido05","1366751649000","5.21723945","13.06372607","","RT @SeyiLawComedy: Barcelona's Funeral Begins ☹ http://t.co/X7PVFTYuOR"
"canarev","1366751651000","2.16480017","41.39015524","Barcelona","També presents a ""les rambles""! #stjordibcn #joxtu #ciu @ Rambla de Catalunya http://t.co/Kh06MwDiU2"
"MiisterCash","1366751651000","3.0629825","41.8155212","Castell-Platja d'Aro","Puto homer jaja"
"kristian1900","1366751652000","2.0962204","41.3745933","Esplugues de Llobregat","#esport3 comerme los huevos compadre!!! Jajajajaiaiaiaiiiiiiijaaaaa"
"Iam_Binhoo","1366751655000","31.6283102","-25.69452","Mpumalanga","""@akhona_plati: @Iam_Binhoo he's overrated now"" His Barcelona they say."
"Ecce_H","1366751656000","2.16222906","41.38629109","Barcelona","@FranMacor Rafael Correa es PhD en economía, el actual presidente de la República del Ecuador. Sería bueno que revisaras en la wikipedia. Pf"
"myrna_estrada","1366751657000","-92.95255934","17.99895806","Centro","-Hijo, traes los ojos muy rojos
-FUMÉ MARIHUANA MAMÁ, LO ACEPTO! SOY DROGADICTO!
- A mí no me engañas! Le vas al Barcelona! 
Jajajaja 😆"
"Its_Javyy","1366751659000","-95.24063601","30.06843117","Southeast Montgomery","Alvaro!!! BARCELONA IS THE BEST CLUB ⚽⚽⚽IN THE WORLD !!!"
"d_kecill","1366751661000","95.32681","5.56208","Kuta Raja","RT @my_supersoccer: Chelsea juga harusnya bangga lihat hasil Bayern vs Barcelona ini. #IfYouKnowWhatIMean #MusimLalu #TinggalKenangan"
"gabrielgarcetev","1366751661000","","","Brasil","Barcelona que descanse en paz http://t.co/cnTJapqr94"
"JuanRufaco","1366751661000","2.6861416","41.6331956","Pineda de Mar","@MariaStellaAR no es un pretexto es una realidad el bajon físico es notorio!"
"FernandoGarces9","1366751662000","","","Barcelona","Gran partido de Bartra. Un muro en defensa, Pobre hombre! Flaco favor le han hecho hoy...."
"unsalotles","1366751663000","","","Türkiye","Barcelona yönetiminden açıklama :''Bugünün 23 Nisan olduğunu hatırlatırız, çocukları sevindirdik. '"
"edu_dbg","1366762013000","2.1710586","41.4076096","Barcelona","#YaDeberíasSaberQue me aburro que te cagas y no sé qué más poner en este puto hashtag xD"
"Brunnosz_","1366762014000","-47.7788122","-15.7508878","Brasília","nem gostei que o Barcelona perdeu hoje de 4 x 0 hehe '"
"kevron_gazakidd","1366762017000","-71.94673808","41.03265719","Montauk","BAYERN “@Kelroydaily: Barcelona Let me Down :'( I almost cried when I heared them Under 2-0 &amp; Then I Heard they Lost 4-0 Tears start flow.”"
"Danilopat","1366762017000","","","Mérida","@t0l0k HOY ES DIA DE SAN JORDI, DIA MUNDIAL DEL LIBRO Y LA ROSA, LA UNESCO TOMO LA FECHA EL 23-4 DADO QUE EN CATALUNYA DSD 1800 LO CELEBRAN"
"luisanadelval17","1366762021000","-64.81402","9.451995","","@NicolasMaduro ayudeme presidente yo soy de Aragua de Barcelona edo Anzoategui y soy chavista hasta él día de mi muerte"
"jontxu21","1366762028000","1.1396773","41.0749272","Salou","Ohean kriston beroakiiin!"
"Fazzli93","1366762038000","101.5812624","3.07464047","Damansara","Are you freaking serious , bayern did that to Barcelona ? 4-0"
"BetoCaetano","1366762041000","-58.18878225","-34.80317295","","A derrota do Barcelona deve influenciar na reprodução das baleias pelo tanto que vcs estão comentando"
"vixvaporus","1366762042000","1.97676418","41.2779253","Castelldefels","@veto_dk just discovered in #radio3, amazing group. Did you already come to Barcelona? @ValeriaKronicz"
"JoseDanPolo06","1366762049000","-80.3537776","8.5013926","","@Toby_Knoxville el barcelona gana si se deja de mariconados y se para serio a demostrar que sin los mejores"
"_MartaCompany","1366762053000","2.1969958","41.411138","Barcelona","@ElyFontanet digau mes alt guapi!! Molt mes!! Aquesta tarda parlem&lt;3 (:"
"luisxotoche","1366762055000","-0.3785809","39.4730683","Valencia","barcelona vs barcelona en semis, el arbitro no sabia a quien robar"
"TriipstaDeHidro","1366762068000","2.7918784","41.6766052","Blanes","@Loveinvain_95 buenas noches chica, jajaja y de nada ;)"
"FijiFootyExpert","1366762070000","-0.05479","51.52202","Tower Hamlets","Thomas Muller is the 1st German to score a brace against Barcelona in the #UCL"
"BrendaBlack_","1366762071000","1.1424543","41.084082","Salou","Party haard en la diiisco !! http://t.co/FFjeWJuyqG"
"ridesharold","1366762072000","","","Francia","Lonely hearts club"
"chandra__arief","1366762078000","110.44147167","-7.06021","Tembalang 1","Yo rasah rasis zzz""@ferlandaf: Nama Barcelona : kalau menang = Barcelona. Kalau habis KALAH = BARCALAH"""
"folletcabrejat","1366762082000","","","Montcada i Reixac","#Escamot  #SomLaGuerrilla #Obrimvies de #resistència i #Lluita? ens trobem pel carrer i parlem, tenim temps!"
"_LouiseHoran","1366762087000","-90.4319715","14.6614977","Chiapas","@Louis_Tomlinson Barcelona or Real Madrid? :)"
"GRAUBOSCH_JORDI","1366762095000","","","Terrassa","@alvarocarrellan Terminado el día de Sant Jordi son algunos profesionales los que no me han felicitado... - JORDI ( RELACIONES PUBLICAS )."
"trendinaliaBLA","1366762109000","-64.692","10.133","","¿Sabías que 'Gabinete' se mantuvo el martes 22 durante 7 horas en Barcelona como Trending Topic? http://t.co/FRK9VVa1lq"
"johnbass777","1366762113000","-67.58141889","10.23709111","","Tremenda la #Goleada que le dieron al #Barcelona hoy, les dieron hasta en la cédula, va estar difícil remontar este resultado en la vuelta"
"titovprasojo","1366762127000","106.83952036","-6.29197005","Pasar Minggu","Kayak lau dul lg tidur? Haghag “@ThitanXDance: Sedang tidur dull RT @titovprasojo: Fansnya barcelona pasti sedang bersedih. Hahaha”"
"Rizkoni_","1366762129000","114.60419097","-3.29443384","Kalimantan Tengah","RT @VamosFootball: FT UCL Semi-final 1st leg : Bayern Munich 4-0 Barcelona (Thomas Muller 25', 82', Mario Gomez 49', Arjen Robben 73')"
"_Remi_Chenu_","1366762129000","3.02036885","42.57045922","Argelès-sur-Mer","J'fais chier un machin :o"
"Rihannavy_bitch","1366762133000","","","Barcelone","@MelanieLnrt follow back?"
"Franfjf","1366762137000","-70.61163464","9.30082286","","-_- RT ""@overagain_av: JAJA yo predije que perdería, fue mi culpa :( RT""@Franfjf: No me hablen del Barcelona."""""
"GofreDeCaramelo","1366762137000","","","Estadilla","""La felicidad es un invento del Corte Inglés"". M.L.P."
"hugeericdilauro","1366762139000","0.868735","41.522597","les Borges Blanques","ERIC DiLAURO TRAINING AND SEMINAR AT BODY GYM LLEIDA (CATALONIA) Spain @mrojoaycutler 
http://t.co/sU75KpHXDL
 http://t.co/Gll5WeIUU1"
"laixg","1366762143000","-43.3095786","-22.7699296","Duque de Caxias","Recebi logo uma notícia boa quando cheguei: Bayern 4 x 0 Barcelona. Buenas!"
"GrMAN_aRtillo","1366762150000","0.0","0.0","","#retowilkinson A un Barcelona con jaqueca se le atragantan las ""aspirinas"" Bayer"
"emilcortes","1366762162000","2.8223164","41.9843699","Gerona","#YaDeberíasSaberQue no sere perfecto.... pero al menos soy sincero..."
"Stevaanus_5","1366762164000","106.6591584","-6.1778967","Tangerang","Mimpi RT""@bolanewscom: Gelandang Barcelona Ini Berharap Keajaiban Terjadi di Camp Nou http://t.co/iWCL1UYrNh"""
"olimpia86813426","1366762169000","","","Barcelona","@GemaLopezFans 
Has estado fenomenal al contestar a Kiko Hernandez, a veces se pasa de la raya ,te tiene miedo y por eso lo  hace ."
"CarlaBloodyMary","1366762173000","2.4427361","41.6942511","Santa Maria de Palautordera","Ojalá todos los días fuesen así de perfectos"
"ruben5leon","1366762185000","3.0670868","41.8166341","Castell-Platja d'Aro","#retowilkinson Una paliza bávara."
"anjargaxdeso","1366762191000","107.7727707","-6.9209979","Cikeruh","Sulitt tpi bola itu bulat jd kadang bisa"" tergelincir di leg ke 2""@DennyJA_WORLD: Akhir kejayaan Barcelona ? Ia ditekuk Munich 4:0. Bisakah"
"jesusmillan7j","1366762192000","2.7396081","41.643699","Malgrat de Mar","¿Teneis hielo? @rogeguardado13 @8AlbertoJimenez #Montoya #Tuercas JAJAJAJAJAJAJA."
"hamzabouhami","1366762199000","","","Grand Casablanca","La paz sea contigo, mi amigo, yo soy un fan del Dream Team de Barcelona mi amigo Gerard Piqué http://t.co/hJokzQw3S4"
"TriipstaDeHidro","1366762201000","2.7918784","41.6766052","Blanes","Nuestra relacion, si esque hay relacion, es un clavatelo y clavamelo ; por ti di un riñon."""
"edu_dbg","1366762203000","2.1712583","41.4075081","Barcelona","#YaDeberíasSaberQue quiero un poquito (mucho) de tu tra, tra, tra... ;)"
"Cuyiis","1366762206000","2.20993","41.41749","Barcelona","Yo nose si cambiaste mucho... O te conoci poco.!"
"Kyhncn1","1366762206000","","","Türkiye","Bayern'in sahasındaki son 3 maçı:  B.Munih 9-2 Hamburg  B.Munih 6-1 Wolsburg  B.Munih 4-0 Barcelona  Gözle görülür bir düşüş var :("
"ChynytEli","1366762235000","2.1284273","41.5106563","Barberà del Vallès","Menos maaaal!! Ole Rakii ""vamos a perrear xicas"" q se las lleve a bailar a todas!!! q asco de gemelos .. #ghdirecto   #repescagiuls"
